Emission_Inventory,Raw_Coal,CleanedCoal,Other_Washed_Coal,Briquettes,Coke,Coke_Oven_Gas,Other_Gas,Other_Coking_Products,Crude_Oil,Gasoline,Kerosene,Diesel_Oil,Fuel_Oil,LPG,Refinery_Gas,Other_Petroleum_Products,Natural_Gas
1997,1837.272189,31.07833958,48.73362494,12.5444021,286.6661932,28.32502041,38.87175755,7.333295269,15.71787376,96.72749167,20.65901109,163.4950528,112.9889692,31.25757495,16.67994709,0.045,32.76529448
1998,1766.731048,31.19887473,47.49072103,10.33677994,297.0570082,27.24468727,36.31224876,3.445998725,17.25248217,97.22445314,20.37401107,163.2218685,117.2845784,36.84522221,17.05618147,0.098,32.03496808
1999,1721.716629,26.37147056,56.52940325,15.05939154,278.6022512,26.15397741,32.38568219,3.718598832,16.55755382,98.69104555,25.01140758,192.7486622,120.5054932,37.56281551,19.14986233,0.101,34.80718338
2000,1766.967706,24.64951867,62.32386808,10.32830126,295.754201,27.89611547,69.33378564,4.099490425,19.89525203,102.0673397,26.41409586,205.873263,106.987853,45.38339269,22.74079565,0.11435085,39.10919481
2001,1868.234077,25.2842292,66.87000509,10.88635636,325.5798268,29.0502387,128.3961642,4.491199943,20.149018,104.7722384,26.75206266,220.6972987,115.7701211,42.5944219,22.52628191,1.667338522,44.32735534
2002,2049.292299,20.58298717,68.15046496,11.60881068,350.0918174,30.15709015,92.89795245,5.021278269,21.17472691,110.8139201,27.56335665,240.2050677,112.2136811,49.06184105,23.23832052,1.945177723,47.43016217
2003,2433.873092,34.30874484,74.45411399,14.14213314,435.2204428,33.57679995,94.39968985,6.037858676,25.11775627,122.2633504,28.61989027,264.5002128,130.701466,54.99920546,23.88486894,2.325538376,55.37516269
2004,2787.682153,50.92288515,94.5237292,14.39765217,493.8539572,40.16371905,113.4115662,7.398454399,22.54913354,137.0486859,32.00802151,314.9356569,147.1054464,61.39774568,27.35651659,3.617369332,66.479149
2005,3151.089259,53.68144831,98.12922987,15.00371193,687.2922009,58.18003235,160.2639853,7.310149941,23.47170048,141.8482566,32.59866053,339.1024085,129.6929895,62.17106829,31.07141346,6.687249846,90.07891262
2006,3488.051211,58.78030021,112.7388284,19.20424087,763.4228559,62.84033815,196.6334432,9.162530917,29.23538094,158.2661309,34.65254247,373.1601008,136.3962056,67.05264259,32.05978051,4.179114092,103.4708294
2007,3752.111417,65.50121015,132.617313,23.44208637,852.7035499,61.0163392,275.8530708,11.48913954,24.89248959,161.1861454,37.5872232,385.655728,127.2625707,70.73300827,33.53865563,6.085163805,129.0646643
2008,3872.207279,80.3809971,139.6473697,24.9020002,875.5911306,77.99843817,261.8469858,13.48165038,19.61926277,179.5046486,39.09936767,418.160323,98.51576348,64.12378617,35.73591789,4.518223509,148.8461383
2009,4163.496555,86.89349455,156.1966577,27.25891055,992.2442954,76.53186,310.7047011,15.6487575,20.10397079,180.3478441,43.94918852,418.6367712,85.691035,64.82760368,41.3640635,5.730281856,166.30915
2010,4407.757545,88.09713949,166.3442708,67.63155467,1071.557608,83.65836919,337.4844929,15.66866464,19.75590599,203.2159739,53.32080262,453.9951051,84.23962729,67.33274234,44.35656362,10.6658708,182.5816001
2011,4917.703914,98.44884125,160.5585911,72.71714843,1169.053266,93.16230305,401.1885511,15.80599478,13.74090171,222.0855833,55.03596249,483.0429756,76.72785577,69.56553532,48.26024595,10.13172797,224.2879912
2012,5076.799096,98.05556308,171.926981,76.05031945,1242.00529,91.40632934,396.2626141,13.15233261,16.15363047,238.7797425,59.30489251,523.3882371,71.29703728,68.56365987,49.16441135,9.047973098,244.5059324
2013,5271.810448,98.37894766,159.5784251,81.49631915,1265.434215,96.49856313,471.5245621,16.48878196,16.68308539,273.8049463,65.60573323,529.692314,71.83301144,78.13684687,51.0967057,7.834094844,276.2107528
2014,5009.919877,116.7095196,180.0146071,83.6036928,1294.291035,97.61968608,505.0676603,15.38107675,16.79537455,285.805819,70.82326396,529.9740505,70.16816462,88.74696796,54.58739896,9.031897249,298.5457645
2015,4844.121824,120.9767851,185.2317638,75.6520904,1212.101996,92.75184564,493.4691226,17.22213664,20.00636849,332.4432238,80.78885575,534.6590213,69.34281708,104.8162101,57.60262016,9.970969483,316.7650314
2016,4807.117348,121.6304135,240.6050383,73.02148369,1233.409466,93.17037384,526.4483486,16.89332204,18.50599597,346.8384239,90.09430371,517.8215279,69.24776746,127.1595982,58.10148156,10.64160537,326.7389565
2017,4903.244861,127.423448,238.1639456,76.22264176,1212.389367,96.22343909,553.5171653,18.87451179,11.37712426,359.5770858,100.903362,517.784402,71.10820536,139.2162301,61.18586841,13.35539066,357.6849171
2018,4956.710126,133.2164825,221.6018136,73.37731017,1220.428858,101.6031983,702.9656617,0.031447456,10.9200452,381.3465152,110.8537781,505.5737155,69.47113406,146.021156,62.69147421,16.46470251,399.4993447
2019,4911.851615,139.0095171,241.7952287,63.50736996,1292.586081,113.1236772,745.6072569,17.23521878,10.28608075,397.9575548,119.5561429,458.4325703,74.08230799,155.2828684,67.05358778,18.52696094,426.6164935
2020,4938.604044,144.8025516,255.9291632,57.39419225,1336.881237,105.0299724,791.85183,15.89933083,13.08111019,372.8999263,101.6858221,437.6489103,81.09828418,150.7987481,65.21652149,14.20013103,445.6265872
2021,5356.323332,150.5955861,273.2462234,52.15800171,1282.539881,100.2758323,768.4479677,14.4444457,14.02409853,415.4837878,105.8970844,467.4853953,89.73222803,152.1986574,68.67781099,13.48763727,491.0148605